Model,CV ROC-AUC,Std,DeLong p vs best
Extra Trees,0.8437216398788727,0.030710562126886425,
Logistic Regression,0.843227579781039,0.030118572738210364,0.8980519257784745
Stacked Ensemble,0.8415627766130911,0.03190438594294571,0.5089157223654694
Random Forest,0.8333990216631725,0.03185895401865987,0.0028083223432631144
Gradient Boosting,0.8229622641509433,0.03147975573819326,0.0043818072454078205
XGBoost,0.8183461448870253,0.030377281398407896,0.00039914259644135974
LightGBM,0.8130109480549733,0.030486306894501262,1.51309150551171e-05
