metric,estimate,ci_low,ci_high
roc_auc,0.8229629629629629,0.7539221158646945,0.8819810682893847
pr_auc,0.680830398641999,0.550869325266522,0.8034606010346722
brier,0.1656962957792879,0.13331450583506232,0.20216811747777613
accuracy,0.7337662337662337,0.6623376623376623,0.7987012987012987
precision,0.5844155844155844,0.47435897435897434,0.6857401032702236
recall,0.8333333333333334,0.7358490566037735,0.9333333333333333
f1,0.6870229007633588,0.5932203389830508,0.7703703703703704
